id,uuid,item,per_person,gobag,shelter,adult,child,senior,pet
1,3e8ad706-e596-4590-b198-ba12903b2002,water,1,y,y,y,y,y,y
2,47504afc-9b38-48f7-a263-cdb31c6d59cc,food,1,y,y,y,y,y,n
3,15130422-be3d-4a32-a16b-f4e1bbc4b2c9,NOAA_radio,0,y,y,y,y,y,n
4,9d1983ed-05f9-4e8f-9c61-6e55432b4e0f,flashlight,0,y,y,y,y,y,n
5,724837fe-9749-456b-9dd0-d25dd5f6d316,first_aid_kit,0,y,y,y,y,y,n
6,8a7cc7c9-0634-4642-bfe0-5a86498d2137,batteries,0,y,y,y,y,y,n
7,17d7182c-0c8c-463f-8f92-361bfaaabc51,whistle,1,y,n,y,y,y,n
8,a53303c3-de43-4565-b46a-6c972e549d74,dust_mask,1,y,y,y,y,y,n
9,0d4ef1b2-714a-4e78-a081-8ed5e46ac42e,plastic_sheeting,0,n,y,y,y,y,n
10,ac8642e1-7f70-4b48-a847-68e2e4ede5a9,scissors,0,y,y,y,y,y,n
11,320fd1d7-fe57-4e23-8301-15bbe4f6e3bd,duct_tape,0,y,y,y,y,y,n
12,a97e5756-4246-4db4-88ce-2559d11336be,wipes,0,y,y,y,y,y,n
13,87ec4c05-e106-4ad6-8874-d93b646c4584,trash_bags,0,y,y,y,y,y,n
14,bdd05699-77df-4ca1-9283-7123360f26fd,zip_ties,0,y,y,y,y,y,n
15,74de2a9d-b847-41f1-b6c8-d69e8b04ea77,wrench,0,n,y,y,y,y,n
16,8b3cd002-22b2-440c-95f0-31b87c79b92f,can_opener,0,n,y,y,y,y,n
17,8fd8f9f7-f6a7-46de-b8fc-3c16b20c2576,local_maps,0,y,n,y,y,y,n
18,96734a08-16a4-46e4-9bc9-25baf6fe2dbd,cellphone_and_charger,1,y,y,y,y,y,n
19,0e092463-82a6-4a76-9398-497c87d08614,power_bank,0,y,y,y,y,y,n
20,da7e1650-2c7a-46a8-9ace-84e84c76533a,soap_and_disinfectants,0,y,y,y,y,y,n
21,356436b0-6b53-42cf-8454-3aa24c2d8f78,medications,0,y,y,y,y,y,n
22,fed20bfc-62ee-4b1f-94db-d6a3d1d8698c,infant_food,1,y,y,n,y,n,n
23,8a67542c-4d97-432a-8538-f51d392a0130,cash_or_travelers_checks,0,y,y,y,n,y,n
24,da21f372-196d-4407-b466-521c1e2ff3bc,important_documents,0,y,y,y,y,y,n
25,3fd8b803-6627-425b-8199-9d35a45b52d0,sleeping_bag_or_blanket,1,y,y,y,y,y,n
26,f5567078-b1bb-4173-b59c-6705b7159944,change_of_clothes,1,y,n,y,y,y,n
27,4cb49986-d34b-4d7c-8cf2-b1be210be722,fire_extinguisher,0,n,y,y,y,y,n
28,b1ce0000-745b-4a2a-8060-24cd5453e3b0,waterproof_matches,0,y,n,y,y,y,n
29,6580a1c1-5a56-4678-ad07-70ad91e5868d,personal_hygiene_items,1,y,y,y,y,y,n
30,3f74b8d5-7d2b-4674-ad02-558b43e1e3c9,mess_kit,1,y,n,y,y,y,n
31,23b89a7f-ceb2-4818-835f-3c4ac0faef1e,paper_plates_and_utensils,0,n,y,y,y,y,n
32,d95f8d0e-4cec-41bf-bd14-3b07eca41112,paper_and_pencil,0,y,n,y,y,y,n
33,4ea390cd-734e-401c-818b-2115e05ae826,childrens_activities,0,y,y,n,y,n,n
34,afd04127-979b-4980-9fb9-ca7b4fdc6436,emergency_contact_info,0,y,y,y,y,y,n
35,15ab8087-4727-46ba-a4be-147f0246c758,diapers,0,y,y,n,y,n,n
36,c004418a-8a48-4265-8b23-436eedc39cc7,bottles,0,y,y,n,y,n,n
37,f8c7638e-44ae-4e65-aac4-e23655927c0a,N95_masks,5,y,y,y,y,y,n
38,b8f6fcb2-dad9-49a4-939d-5f113dedb627,raingear,1,y,n,y,y,y,n
39,7e17c57b-02b1-46f9-bd24-b9429e4458a2,towels,1,y,y,y,y,y,y
40,e7c30264-a898-4c7f-a542-5a7531818eac,work_gloves,0,y,y,y,n,y,n
41,7707b2c1-b24a-4bf6-a2e5-4933b54baab2,bleach,0,n,y,y,n,y,y
42,e24cd730-e500-46c3-9500-f536f470fb6c,leash_or_harness,0,y,y,n,n,n,y
43,2f23607f-06f1-429b-a7f0-2f4e92870c81,cat_litter_and_pan,0,y,y,n,n,n,y
44,d203aa55-9d48-4df4-bdc4-ffc4469b4b63,photos,0,y,y,n,n,n,y
45,33422501-3362-4b18-8ae7-03dc144bfa74,pet_bed,0,y,y,n,n,n,y
46,842c7de8-7236-434d-9900-586e39c38362,long-sleeved_shirts,1,y,y,y,y,y,n
47,c85f6237-369c-4bf9-9e12-0b8039355083,long_pants,1,y,y,y,y,y,n
48,d79aee7c-404e-4643-b1b4-938e2f300968,goggles,1,y,y,y,y,y,n
49,4d6ccb03-726f-411f-87ad-5c5eeae344a6,cold_weather_gear,1,y,y,y,y,y,n
