id,uuid,task,description
1,8a2fba9f-778d-4bd7-831c-c5419373d9c9,get_vaccinated,NULL
2,169ea806-2c1b-4c14-9408-83b101701910,prepare_go_bags,NULL
3,01dde64c-584b-4329-a29f-a7e546f122f9,stock_emergency_supplies,NULL
4,d25712a7-b7b4-44e3-b2d1-69e957a1f40f,practice_drop_cover_and_hold_on,NULL
5,d3b661ed-7f23-4584-9571-51e4f8b4e494,secure_objects_that_could_fall,NULL
6,0e66bc62-3af2-41a5-9056-37eb16869548,have_a_backup_for_charging_your_phone,NULL
7,c6c882a3-956f-44d2-81d4-9fcbe82d1dc7,decide_emergency_contacts,NULL
8,85caf5bf-6387-4b05-83b6-deaf43985d70,learn_about_early_warning_systems,NULL
9,dbbc4d92-377a-45fd-ad29-6d52203e8aa1,learn_first_aid,NULL
10,5f5222c5-b626-40e1-a433-cf8e9640608b,learn_cpr,NULL
11,1eb54fb3-76fb-44f3-8d74-0d20efed54b2,know_how_to_turn_off_utilities,NULL
12,e4ff431e-73d9-42a7-a627-b14c39fca011,store_important_documents_safely,NULL
13,0dcad544-9ef4-4ebf-8a95-31cbe5847a30,have_a_plan_to_stay_cool,NULL
14,b64863ca-ba7b-4562-9057-b44f3884a51d,learn_to_recognize_heat_illness,NULL
15,ef089e3c-071f-4498-8075-73405abe96af,sign_up_for_emergency_alerts,NULL
16,db28405a-a4e5-4378-80dc-3270af4365cf,install_smoke_alarms,NULL
17,6331faef-d6c8-437b-950c-139cd6ce7874,test_smoke_alarms,NULL
18,1e54d839-db32-4337-99ab-a970bab9a79a,make_a_fire_escape_plan,NULL
19,23671fe7-6938-4029-bec2-893f55288697,know_your_risks,NULL
20,144be296-f90c-4ed1-a65a-c101f16ab47e,make_evacuation_plan,NULL
21,6e585358-15b1-4742-927f-4050f6b863d2,learn_about_local_fallout_shelters,NULL
22,d8f87634-37ed-40d1-bf9f-492c260214e0,plan_for_personal_medical_needs,NULL
23,74c18e43-079e-4a4b-b7e2-4e0587a9bf1b,create_emergency_communications_plan,NULL
24,32ea1ab1-b05f-47f6-a13e-4b39ec013a1d,establish_a_meeting_place,NULL
25,e940b276-f0f2-4ad5-a97f-8857ddb839a6,know_school_emergency_plans,NULL
26,182aee37-183a-49fa-9c74-26a73535216d,determine_safest_location_in_your_home,NULL
27,5dadffab-c098-4ce2-b970-9bdc6f4275a9,practice_tornado_drill,NULL
28,3412473d-ec40-41da-b6b1-47f8c9ad8010,learn_about_alert_types,NULL
29,7241e314-ecc1-4c9a-9f14-30f369231d8a,learn_about_community_evacuation_plans,NULL
30,eaef7992-9324-4da6-aba0-18076ff9c554,know_the_signs,NULL
31,76173a31-ba84-4842-a5b9-48ba99714e65,be_ready_to_live_without_power,NULL
32,5cfb0c0b-c2a9-4b42-97e4-e860ec651a13,plan_to_check_on_loved_ones,NULL
33,e9902da0-30b8-4a14-9f99-f782a2c2f836,have_a_backup_shelter,NULL
34,f78c99bd-747f-4641-993b-d4e9b20e0f32,buy_snow_shovel_and_ice_melt,NULL
35,4a99a379-2575-46b6-8013-fde2658389a2,learn_to_treat_frostbite_and_hypothermia,NULL
